Frequency in GHz,dB(sub-3\s3_3),Frequency in GHz,dB(v_smith-dipol-3mm\s1_1)
2.77,-2.20986,,
2.77167,-2.19867,,
2.77333,-2.18757,,
2.775,-2.17656,,
2.77667,-2.16565,,
2.77833,-2.15483,,
2.78,-2.1441,,
2.78167,-2.13347,,
2.78333,-2.12292,,
2.785,-2.11247,,
2.78667,-2.1021,,
2.78833,-2.09182,,
2.79,-2.08163,,
2.79167,-2.07152,,
2.79333,-2.0615,,
2.795,-2.05156,,
2.79667,-2.04171,,
2.79833,-2.03194,,
2.8,-2.02225,,
2.80167,-2.01264,,
2.80333,-2.00311,,
2.805,-1.99366,,
2.80667,-1.98429,,
2.80833,-1.975,,
2.81,-1.96579,,
2.81167,-1.95665,,
2.81333,-1.94759,,
2.815,-1.9386,,
2.81667,-1.92969,,
2.81833,-1.92085,,
2.82,-1.91208,,
2.82167,-1.90338,,
2.82333,-1.89476,,
2.825,-1.88621,,
2.82667,-1.87772,,
2.82833,-1.86931,,
2.83,-1.86096,,
2.83167,-1.85269,,
2.83333,-1.84448,,
2.835,-1.83633,,
2.83667,-1.82825,,
2.83833,-1.82024,,
2.84,-1.81229,,
2.84167,-1.80441,,
2.84333,-1.79659,,
2.845,-1.78883,,
2.84667,-1.78114,,
2.84833,-1.7735,,
2.85,-1.76593,,
2.85167,-1.75841,,
2.85333,-1.75096,,
2.855,-1.74357,,
2.85667,-1.73623,,
2.85833,-1.72895,,
2.86,-1.72173,,
2.86167,-1.71457,,
2.86333,-1.70746,,
2.865,-1.70041,,
2.86667,-1.69341,,
2.86833,-1.68647,,
2.87,-1.67958,,
2.87167,-1.67275,,
2.87333,-1.66597,,
2.875,-1.65924,,
2.87667,-1.65257,,
2.87833,-1.64594,,
2.88,-1.63937,,
2.88167,-1.63285,,
2.88333,-1.62638,,
2.885,-1.61995,,
2.88667,-1.61358,,
2.88833,-1.60726,,
2.89,-1.60098,,
2.89167,-1.59475,,
2.89333,-1.58857,,
2.895,-1.58244,,
2.89667,-1.57635,,
2.89833,-1.57031,,
2.9,-1.56431,,
2.90167,-1.55836,,
2.90333,-1.55245,,
2.905,-1.54659,,
2.90667,-1.54077,,
2.90833,-1.535,,
2.91,-1.52927,,
2.91167,-1.52358,,
2.91333,-1.51793,,
2.915,-1.51233,,
2.91667,-1.50677,,
2.91833,-1.50124,,
2.92,-1.49576,,
2.92167,-1.49032,,
2.92333,-1.48492,,
2.925,-1.47956,,
2.92667,-1.47424,,
2.92833,-1.46896,,
2.93,-1.46371,,
2.93167,-1.45851,,
2.93333,-1.45334,,
2.935,-1.44821,,
2.93667,-1.44311,,
2.93833,-1.43806,,
2.94,-1.43304,,
2.94167,-1.42805,,
2.94333,-1.4231,,
2.945,-1.41819,,
2.94667,-1.41331,,
2.94833,-1.40847,,
2.95,-1.40366,,
2.95167,-1.39889,,
2.95333,-1.39415,,
2.955,-1.38944,,
2.95667,-1.38477,,
2.95833,-1.38013,,
2.96,-1.37552,,
2.96167,-1.37095,,
2.96333,-1.36641,,
2.965,-1.3619,,
2.96667,-1.35742,,
2.96833,-1.35297,,
2.97,-1.34855,,
2.97167,-1.34417,,
2.97333,-1.33981,,
2.975,-1.33549,,
2.97667,-1.33119,,
2.97833,-1.32693,,
2.98,-1.32269,,
2.98167,-1.31849,,
2.98333,-1.31431,,
2.985,-1.31016,,
2.98667,-1.30604,,
2.98833,-1.30195,,
2.99,-1.29788,,
2.99167,-1.29385,,
2.99333,-1.28984,,
2.995,-1.28585,,
2.99667,-1.2819,,
2.99833,-1.27797,,
3,-1.27407,,
